,TSLA,QQQ,Y_d1_pr_change_diff,Y_d5_pr_change_diff,earnings flag,tweet count,tweet flag,compound,positive,negative,neutral,tesla flag,spacex flag
2020-03-10,129.06599426269528,202.9545135498047,0.006947409496795842,-0.10874297194442872,0.0,18.0,1,0.9763,0.23399999999999999,0.065,0.7020000000000001,,
2020-03-11,126.84600067138672,194.1148376464844,0.02635450772687631,-0.048397593362093705,0.0,18.0,1,0.9304,0.23399999999999999,0.149,0.617,,
2020-03-12,112.11000061035156,176.31617736816406,-0.024480971232670234,-0.06437257942456154,0.0,4.0,1,0.264,0.17800000000000002,0.151,0.6709999999999999,,
2020-03-13,109.3239974975586,191.2511444091797,-0.10955621766316803,-0.1475998520989784,0.0,0.0,0,0.0,0.0,0.0,0.0,,
2020-03-16,89.01399993896484,168.34156799316406,-0.06599011808139821,-0.14259591976718988,0.0,14.0,1,0.9285,0.198,0.066,0.736,,
2020-03-17,86.04000091552734,181.1088714599609,-0.10925212085761415,-0.22572616945858048,0.0,15.0,1,0.7959999999999999,0.11599999999999999,0.077,0.807,,
2020-03-18,72.24400329589844,175.60025024414062,-0.12992792056728142,-0.3350794008586454,0.0,15.0,1,0.6842,0.12300000000000001,0.073,0.8029999999999999,,
2020-03-19,85.52799987792969,176.6542510986328,0.17787453182933333,-0.2390238474660824,0.0,13.0,1,0.8094,0.113,0.06,0.8270000000000001,,
2020-03-20,85.50599670410156,169.73365783691406,0.038918659751563056,-0.10535711107601142,0.0,14.0,1,0.9091,0.17800000000000002,0.11800000000000001,0.7040000000000001,,
2020-03-23,86.85800170898438,169.85621643066406,0.015089750866392526,-0.033218360567016325,0.0,26.0,1,0.9601,0.14400000000000002,0.107,0.7490000000000001,,
2020-03-24,101.0,183.0094451904297,0.08538001996533451,0.16337850974167267,0.0,23.0,1,0.9978,0.271,0.052000000000000005,0.677,,
2020-03-25,107.8499984741211,181.65426635742188,0.07522673369175159,0.4583813244797301,0.0,5.0,1,0.8655,0.142,0.071,0.7859999999999999,,
2020-03-26,105.63200378417969,191.2202606201172,-0.07322599510597505,0.152602665862847,0.0,5.0,1,0.4215,0.297,0.0,0.703,,
2020-03-27,102.87200164794922,184.6436462402344,0.00826440904937431,0.11525348425801751,0.0,13.0,1,0.9867,0.233,0.051,0.716,,
