,Compound,Positive,Negative,Neutral
646,0.0,0.0,0.0,1.0
647,0.0,0.0,0.0,1.0
648,0.0,0.0,0.0,1.0
649,0.0,0.0,0.0,0.0
650,0.0,0.0,0.0,1.0
651,0.4091,0.406,0.0,0.594
652,0.6486,0.133,0.0,0.867
653,-0.2732,0.045,0.087,0.868
654,-0.1689,0.0,0.113,0.887
655,0.128,0.168,0.139,0.694
656,-0.2263,0.107,0.182,0.711
657,0.0,0.0,0.0,1.0
658,0.4019,1.0,0.0,0.0
659,0.5499,0.307,0.0,0.693
660,0.4588,0.2,0.0,0.8
661,0.0,0.0,0.0,1.0
662,0.6369,0.171,0.066,0.763
663,0.3182,0.166,0.095,0.738
664,0.3182,0.315,0.0,0.685
665,0.6239,0.45,0.0,0.55
666,0.4588,0.5,0.0,0.5
667,0.0,0.0,0.0,1.0
668,0.3612,0.556,0.0,0.444
669,0.3832,0.395,0.0,0.605
670,0.2263,0.071,0.0,0.929
671,0.4927,0.762,0.0,0.238
672,0.6597,0.144,0.0,0.856
673,0.0,0.0,0.0,1.0
674,0.0,0.0,0.0,1.0
675,0.0,0.0,0.0,0.0
676,0.0,0.0,0.0,1.0
677,-0.3182,0.0,0.535,0.465
678,0.4019,1.0,0.0,0.0
679,0.0,0.0,0.0,1.0
680,0.5242,0.175,0.0,0.825
681,0.8422,0.601,0.0,0.399
682,0.636,1.0,0.0,0.0
683,0.4215,0.737,0.0,0.263
684,0.0,0.0,0.0,1.0
685,0.0,0.0,0.0,1.0
686,0.0,0.0,0.0,1.0
687,0.3182,0.697,0.0,0.303
688,0.0,0.0,0.0,1.0
689,0.0,0.0,0.0,1.0
690,0.4588,1.0,0.0,0.0
691,0.4019,0.278,0.0,0.722
692,0.4215,1.0,0.0,0.0
693,0.2023,0.288,0.233,0.479
694,0.4939,0.359,0.171,0.471
695,0.3802,0.464,0.0,0.536
696,0.4019,0.73,0.0,0.27
697,-0.2411,0.0,0.246,0.754
698,0.0,0.0,0.0,1.0
699,0.0,0.0,0.0,1.0
700,0.0,0.0,0.0,1.0
701,0.0,0.0,0.0,1.0
702,0.296,1.0,0.0,0.0
703,0.6114,0.25,0.0,0.75
704,0.7935,0.278,0.119,0.603
705,0.2244,0.078,0.041,0.881
706,0.1531,0.106,0.081,0.813
707,0.6983,0.591,0.0,0.409
708,0.0,0.0,0.0,1.0
709,0.3182,0.075,0.039,0.886
710,0.0,0.0,0.0,1.0
711,0.1531,0.173,0.122,0.705
712,0.6369,0.161,0.0,0.839
713,0.6825,0.172,0.062,0.766
714,0.8074,0.229,0.0,0.771
715,0.0,0.0,0.0,0.0
716,0.7345,0.674,0.0,0.326
717,0.5859,1.0,0.0,0.0
718,0.296,0.355,0.0,0.645
719,0.0,0.0,0.0,1.0
720,0.6124,0.263,0.0,0.737
721,0.0,0.0,0.0,1.0
722,0.0,0.0,0.0,1.0
723,-0.2942,0.152,0.193,0.655
724,0.5562,0.124,0.074,0.802
725,0.4019,1.0,0.0,0.0
726,0.8481,0.238,0.083,0.679
